text,term_true,cat_true,pol_true,analysis
worst service i ever had,['SERVICE'],['GENERAL'],['2'],"[{'category': 'Service', 'aspect': 'Service', 'segment': 'worst service i ever had', 'sentiment': 'negative'}]"
everyone that sat in the back outside agreed that it was the worst service we had ever received .,['SERVICE'],['GENERAL'],['0'],"[{'category': 'Service', 'aspect': 'Service', 'segment': 'everyone that sat in the back outside agreed that it was the worst service we had ever received', 'sentiment': 'negative'}]"
"our waiter was non - existent and after our food finally arrived over an hour after we ordered , we were not given any water or utensils .",['SERVICE'],['GENERAL'],['0'],"[{'category': 'Service', 'aspect': 'Waiter', 'segment': 'our waiter was non-existent', 'sentiment': 'negative'}, {'category': 'Food', 'aspect': 'Delivery', 'segment': 'after our food finally arrived over an hour after we ordered', 'sentiment': 'negative'}, {'category': 'Service', 'aspect': 'Water', 'segment': 'we were not given any water', 'sentiment': 'negative'}, {'category': 'Service', 'aspect': 'Utensils', 'segment': 'we were not given any utensils', 'sentiment': 'negative'}]"
"i complained to the manager , but he was not even apologetic .",['SERVICE'],['GENERAL'],['0'],"[{'category': 'Service', 'aspect': 'Manager', 'segment': 'i complained to the manager', 'sentiment': 'negative'}, {'category': 'Service', 'aspect': 'Manager', 'segment': 'but he was not even apologetic', 'sentiment': 'negative'}]"
fabulous italian food !,['FOOD'],['QUALITY'],['2'],"[{'category': 'Food', 'aspect': 'Italian', 'segment': 'fabulous italian food', 'sentiment': 'positive'}]"
– i highly recommend mioposto .,['RESTAURANT'],['GENERAL'],['2'],"[{'category': 'Recommendation', 'aspect': 'Mioposto', 'segment': 'I highly recommend Mioposto.', 'sentiment': 'positive'}]"
i am so happy to have a wonderful italian restaurant in my neighborhood .,"['RESTAURANT', 'RESTAURANT']","['GENERAL', 'GENERAL']","['2', '2']","[{'category': 'Food_Quality', 'aspect': 'Italian food', 'segment': 'a wonderful italian restaurant', 'sentiment': 'positive'}, {'category': 'Location', 'aspect': 'Neighborhood', 'segment': 'in my neighborhood', 'sentiment': 'positive'}]"
the wine list is wonderful and the food reminds me of my recent trip to italy .,"['DRINKS', 'FOOD']","['STYLE_OPTIONS', 'QUALITY']","['2', '2']","[{'category': 'Food_and_Drink', 'aspect': 'Wine', 'segment': 'the wine list is wonderful', 'sentiment': 'positive'}, {'category': 'Food_and_Drink', 'aspect': 'Food', 'segment': 'the food reminds me of my recent trip to Italy', 'sentiment': 'positive'}]"
i love this restaurant,['RESTAURANT'],['GENERAL'],['2'],"[{'category': 'Food_Quality', 'aspect': 'Restaurant', 'segment': 'i love this restaurant', 'sentiment': 'positive'}]"
"– i will never forget the amazing meal , service , and ambiance i experience at this restaurant .","['FOOD', 'SERVICE', 'AMBIENCE']","['QUALITY', 'GENERAL', 'GENERAL']","['2', '2', '2']","[{'category': 'Food_Quality', 'aspect': 'Meal', 'segment': 'the amazing meal', 'sentiment': 'positive'}, {'category': 'Service', 'aspect': 'Service', 'segment': 'service', 'sentiment': 'positive'}, {'category': 'Atmosphere', 'aspect': 'Ambiance', 'segment': 'ambiance', 'sentiment': 'positive'}]"
"the wine list is incredible and extensive and diverse , the food is all incredible and the staff was all very nice , good at their jobs and cultured .","['DRINKS', 'DRINKS', 'DRINKS', 'FOOD', 'SERVICE', 'SERVICE']","['STYLE_OPTIONS', 'STYLE_OPTIONS', 'STYLE_OPTIONS', 'QUALITY', 'GENERAL', 'GENERAL']","['2', '2', '2', '2', '2', '2']","[{'category': 'Wine_List', 'aspect': 'Wine List', 'segment': 'the wine list is incredible and extensive and diverse', 'sentiment': 'positive'}, {'category': 'Food', 'aspect': 'Food', 'segment': 'the food is all incredible', 'sentiment': 'positive'}, {'category': 'Staff', 'aspect': 'Staff', 'segment': 'the staff was all very nice, good at their jobs and cultured', 'sentiment': 'positive'}]"
i have not a bad thing to say about this place .,['RESTAURANT'],['GENERAL'],['2'],"[{'category': 'General', 'aspect': 'Place', 'segment': 'i have not a bad thing to say about this place', 'sentiment': 'positive'}]"
the food was great !,['FOOD'],['QUALITY'],['2'],"[{'category': 'Food', 'aspect': 'Food', 'segment': 'the food was great', 'sentiment': 'positive'}]"
"it ' s * very * reasonably priced , esp for the quality of the food .","['FOOD', 'FOOD']","['QUALITY', 'PRICES']","['2', '2']","[{'category': 'Price', 'aspect': 'Food', 'segment': ""it ' s very reasonably priced , esp for the quality of the food ."", 'sentiment': 'positive'}]"
i had the kafta plate and it was perfect .,['FOOD'],['QUALITY'],['2'],"[{'category': 'Food', 'aspect': 'Kafta', 'segment': 'I had the kafta plate', 'sentiment': 'positive'}]"
"– in a age of incremental cost cutting in restaurants , its nice to see a place that bucks that trend , and just plain delivers high quality food and good service , period .","['FOOD', 'SERVICE']","['QUALITY', 'GENERAL']","['2', '2']","[{'category': 'Food', 'aspect': 'Quality', 'segment': 'high quality food', 'sentiment': 'positive'}, {'category': 'Service', 'aspect': 'Service', 'segment': 'good service', 'sentiment': 'positive'}]"
this is the place to relax and enjoy the finest quality food the industry can offer .,"['AMBIENCE', 'AMBIENCE', 'FOOD']","['GENERAL', 'GENERAL', 'QUALITY']","['2', '2', '2']","[{'category': 'Atmosphere', 'aspect': 'Place', 'segment': 'this is the place to relax', 'sentiment': 'positive'}, {'category': 'Food', 'aspect': 'Quality', 'segment': 'enjoy the finest quality food', 'sentiment': 'positive'}, {'category': 'Food', 'aspect': 'Industry', 'segment': 'the industry can offer', 'sentiment': 'neutral'}]"
caution - its real food for people who love the best .,"['FOOD', 'FOOD']","['QUALITY', 'QUALITY']","['2', '2']","[{'category': 'Food', 'aspect': 'Real Food', 'segment': 'its real food', 'sentiment': 'positive'}, {'category': 'Food', 'aspect': 'People', 'segment': 'for people', 'sentiment': 'positive'}, {'category': 'Food', 'aspect': 'Best', 'segment': 'who love the best', 'sentiment': 'positive'}]"
i liked the atmosphere very much but the food was not worth the price .,"['AMBIENCE', 'FOOD', 'FOOD']","['GENERAL', 'QUALITY', 'PRICES']","['2', '0', '0']","[{'category': 'Atmosphere', 'aspect': 'atmosphere', 'segment': 'i liked the atmosphere very much', 'sentiment': 'positive'}, {'category': 'Food', 'aspect': 'food', 'segment': 'the food was not worth the price', 'sentiment': 'negative'}]"
i may not be a sushi guru but i can tell you that the food here is just okay and that there is not much else to it .,['FOOD'],['QUALITY'],['0'],"[{'category': 'Food', 'aspect': 'Sushi', 'segment': 'the food here is just okay', 'sentiment': 'negative'}, {'category': 'Food', 'aspect': 'Sushi', 'segment': 'there is not much else to it', 'sentiment': 'negative'}]"
"rice is too dry , tuna was n ' t so fresh either .","['FOOD', 'FOOD']","['QUALITY', 'QUALITY']","['0', '0']","[{'category': 'Quality', 'aspect': 'Rice', 'segment': 'rice is too dry', 'sentiment': 'negative'}, {'category': 'Quality', 'aspect': 'Tuna', 'segment': ""tuna was n't so fresh either"", 'sentiment': 'negative'}]"
i have eaten here three times and have found the quality and variety of the fish to be excellent .,"['FOOD', 'FOOD']","['QUALITY', 'STYLE_OPTIONS']","['2', '2']","[{'category': 'Food_Quality', 'aspect': 'Fish', 'segment': 'quality and variety of the fish to be excellent', 'sentiment': 'positive'}]"
"however , the value and service are both severely lacking .","['SERVICE', 'RESTAURANT']","['GENERAL', 'PRICES']","['0', '0']","[{'category': 'Value', 'aspect': 'Value', 'segment': 'value', 'sentiment': 'negative'}, {'category': 'Service', 'aspect': 'Service', 'segment': 'service', 'sentiment': 'negative'}]"
"furthermore , while the fish is unquestionably fresh , rolls tend to be inexplicably bland .","['FOOD', 'FOOD']","['QUALITY', 'QUALITY']","['2', '0']","[{'category': 'Food_Quality', 'aspect': 'Fish', 'segment': 'the fish is unquestionably fresh', 'sentiment': 'positive'}, {'category': 'Food_Quality', 'aspect': 'Rolls', 'segment': 'rolls tend to be inexplicably bland', 'sentiment': 'negative'}]"
the service ranges from mediocre to offensive .,"['SERVICE', 'SERVICE']","['GENERAL', 'GENERAL']","['0', '0']","[{'category': 'Service', 'aspect': 'Service', 'segment': 'the service ranges from mediocre to offensive', 'sentiment': 'negative'}]"
"on a recent trip , our waiter was extremely dismissive , while no less than three staff members waited hand - and - foot on a pair of japanese girls seated nearby .","['SERVICE', 'SERVICE']","['GENERAL', 'GENERAL']","['0', '0']","[{'category': 'Service', 'aspect': 'Waiter', 'segment': 'our waiter was extremely dismissive', 'sentiment': 'negative'}, {'category': 'Service', 'aspect': 'Staff', 'segment': 'while no less than three staff members waited hand - and - foot on a pair of japanese girls seated nearby', 'sentiment': 'positive'}]"
freshest sushi – i love this restaurant .,"['FOOD', 'RESTAURANT']","['QUALITY', 'GENERAL']","['2', '2']","[{'category': 'Food', 'aspect': 'Sushi', 'segment': 'freshest sushi', 'sentiment': 'positive'}, {'category': 'Restaurant', 'aspect': 'Restaurant', 'segment': 'i love this restaurant', 'sentiment': 'positive'}]"
they pay such detail to everything from miso soup to complex rolls .,"['FOOD', 'FOOD']","['QUALITY', 'QUALITY']","['2', '2']","[{'category': 'Food', 'aspect': 'Miso soup', 'segment': 'miso soup', 'sentiment': 'positive'}, {'category': 'Food', 'aspect': 'Rolls', 'segment': 'complex rolls', 'sentiment': 'positive'}]"
the sashimi was the freshest and most tender i have ever tasted .,"['FOOD', 'FOOD']","['QUALITY', 'QUALITY']","['2', '2']","[{'category': 'Food', 'aspect': 'Sashimi', 'segment': 'the sashimi was the freshest and most tender i have ever tasted', 'sentiment': 'positive'}]"
their apps are all delicious .,['FOOD'],['QUALITY'],['2'],"[{'category': 'Food_Quality', 'aspect': 'Apps', 'segment': 'their apps are all delicious', 'sentiment': 'positive'}]"
the only drawback is that this place is really expensive and the portions are on the small side .,"['RESTAURANT', 'FOOD']","['PRICES', 'STYLE_OPTIONS']","['0', '0']","[{'category': 'Price', 'aspect': 'Expensive', 'segment': 'this place is really expensive', 'sentiment': 'negative'}, {'category': 'Quantity', 'aspect': 'Portion', 'segment': 'portions are on the small side', 'sentiment': 'negative'}]"
"but the space is small and lovely , and the service is helpful .","['AMBIENCE', 'AMBIENCE', 'SERVICE']","['GENERAL', 'GENERAL', 'GENERAL']","['2', '2', '2']","[{'category': 'Design_Features', 'aspect': 'Space', 'segment': 'but the space is small and lovely', 'sentiment': 'positive'}, {'category': 'Service', 'aspect': 'Service', 'segment': 'and the service is helpful', 'sentiment': 'positive'}]"
– the food was not great & the waiters were rude .,"['FOOD', 'SERVICE']","['QUALITY', 'GENERAL']","['0', '0']","[{'category': 'Food', 'aspect': 'Food', 'segment': 'the food was not great', 'sentiment': 'negative'}, {'category': 'Service', 'aspect': 'Waiter', 'segment': 'the waiters were rude', 'sentiment': 'negative'}]"
great service,['SERVICE'],['GENERAL'],['2'],"[{'category': 'Service', 'aspect': 'Service', 'segment': 'great service', 'sentiment': 'positive'}]"
my service was stellar !,['SERVICE'],['GENERAL'],['2'],"[{'category': 'Service', 'aspect': 'Service', 'segment': 'my service was stellar', 'sentiment': 'positive'}]"
the bus boy even spotted that my table was shaking a stabilized it for me .,['SERVICE'],['GENERAL'],['2'],"[{'category': 'Service', 'aspect': 'bus boy', 'segment': 'the bus boy even spotted that my table was shaking and stabilized it for me', 'sentiment': 'positive'}]"
"food was fine , with a some little - tastier - than - normal salsa .","['FOOD', 'FOOD']","['QUALITY', 'QUALITY']","['2', '2']","[{'category': 'Food', 'aspect': 'Taste', 'segment': 'food was fine, with a some little - tastier - than - normal salsa', 'sentiment': 'positive'}]"
"the food was great , the margaritas too but the waitress was too busy being nice to her other larger party than to take better care of my friend and me .","['FOOD', 'FOOD', 'SERVICE']","['QUALITY', 'QUALITY', 'GENERAL']","['2', '2', '0']","[{'category': 'Food_Quality', 'aspect': 'Food', 'segment': 'the food was great', 'sentiment': 'positive'}, {'category': 'Food_Quality', 'aspect': 'Margaritas', 'segment': 'the margaritas too', 'sentiment': 'positive'}, {'category': 'Service', 'aspect': 'Waitress', 'segment': 'the waitress was too busy being nice to her other larger party than to take better care of my friend and me', 'sentiment': 'negative'}]"
mama mia – i live in the neighborhood and feel lucky to live by such a great pizza place .,['RESTAURANT'],['GENERAL'],['2'],"[{'category': 'Food', 'aspect': 'Pizza', 'segment': 'mama mia – i live in the neighborhood and feel lucky to live by such a great pizza place', 'sentiment': 'positive'}]"
"the only problem is you really have to warm up the pizza before it ' s edible , even when you order ahead .",['FOOD'],['QUALITY'],['0'],"[{'category': 'Food_Quality', 'aspect': 'Pizza', 'segment': ""you really have to warm up the pizza before it ' s edible"", 'sentiment': 'negative'}]"
"but once done , it ' s not too much dough , not too much cheese , not too much sauce .",['FOOD'],['QUALITY'],['2'],"[{'category': 'Food', 'aspect': 'Pizza', 'segment': ""but once done, it's not too much dough, not too much cheese, not too much sauce."", 'sentiment': 'positive'}]"
best sushi in town .,['FOOD'],['QUALITY'],['2'],"[{'category': 'Food', 'aspect': 'Sushi', 'segment': 'best sushi in town', 'sentiment': 'positive'}]"
the best calamari in seattle !,['FOOD'],['QUALITY'],['2'],"[{'category': 'Food', 'aspect': 'Calamari', 'segment': 'the best calamari in seattle', 'sentiment': 'positive'}]"
– . . . and the best summertime deck experience - - they will even bring you a blanket if you get cold in the seattle evening weather .,"['AMBIENCE', 'SERVICE']","['GENERAL', 'GENERAL']","['2', '2']","[{'category': 'Service', 'aspect': 'Customer Service', 'segment': 'they will even bring you a blanket if you get cold', 'sentiment': 'positive'}, {'category': 'Atmosphere', 'aspect': 'Weather', 'segment': 'in the seattle evening weather', 'sentiment': 'neutral'}]"
a perfect place to take out of town guests any time of the year .,['RESTAURANT'],['GENERAL'],['2'],"[{'category': 'Atmosphere', 'aspect': 'Place', 'segment': 'a perfect place', 'sentiment': 'positive'}, {'category': 'General', 'aspect': 'Guests', 'segment': 'to take out of town guests', 'sentiment': 'neutral'}, {'category': 'Timing', 'aspect': 'Year', 'segment': 'any time of the year', 'sentiment': 'neutral'}]"
"endless fun , awesome music , great staff ! ! !","['AMBIENCE', 'SERVICE', 'RESTAURANT']","['GENERAL', 'GENERAL', 'GENERAL']","['2', '2', '2']","[{'category': 'Entertainment_Features', 'aspect': 'Fun', 'segment': 'endless fun', 'sentiment': 'positive'}, {'category': 'Entertainment_Features', 'aspect': 'Music', 'segment': 'awesome music', 'sentiment': 'positive'}, {'category': 'Customer_Service', 'aspect': 'Staff', 'segment': 'great staff', 'sentiment': 'positive'}]"
– by far the best bar in the east village . . .,['RESTAURANT'],['GENERAL'],['2'],"[{'category': 'Atmosphere', 'aspect': 'Bar', 'segment': 'by far the best bar in the east village', 'sentiment': 'positive'}]"
great draft and bottle selection and the pizza rocks .,"['DRINKS', 'FOOD']","['STYLE_OPTIONS', 'QUALITY']","['2', '2']","[{'category': 'Food_and_Drink', 'aspect': 'Drafts', 'segment': 'great draft selection', 'sentiment': 'positive'}, {'category': 'Food_and_Drink', 'aspect': 'Bottles', 'segment': 'and bottle selection', 'sentiment': 'positive'}, {'category': 'Food_and_Drink', 'aspect': 'Pizza', 'segment': 'and the pizza rocks', 'sentiment': 'positive'}]"
definitely has one of the best jukebox ' s i ' ve seen in a long long time .,['AMBIENCE'],['GENERAL'],['2'],"[{'category': 'Design_Features', 'aspect': 'Jukebox', 'segment': ""definitely has one of the best jukebox ' s i ' ve seen in a long long time"", 'sentiment': 'positive'}]"
"the food is great , the bartenders go that extra mile .","['FOOD', 'SERVICE']","['QUALITY', 'GENERAL']","['2', '2']","[{'category': 'Food_Quality', 'aspect': 'Food', 'segment': 'the food is great', 'sentiment': 'positive'}, {'category': 'Service', 'aspect': 'Bartenders', 'segment': 'the bartenders go that extra mile', 'sentiment': 'positive'}]"
the owners are great fun and the beer selection is worth staying for .,"['SERVICE', 'SERVICE', 'DRINKS']","['GENERAL', 'GENERAL', 'STYLE_OPTIONS']","['2', '2', '2']","[{'category': 'Atmosphere', 'aspect': 'Owners', 'segment': 'the owners are great fun', 'sentiment': 'positive'}, {'category': 'Atmosphere', 'aspect': 'Beer Selection', 'segment': 'the beer selection is worth staying for', 'sentiment': 'positive'}]"
and the upstairs is a great place to hang out .,['AMBIENCE'],['GENERAL'],['2'],"[{'category': 'Location', 'aspect': 'upstairs', 'segment': 'upstairs', 'sentiment': 'positive'}]"
"not alot of smoking places left in new york , but i have found my favorite smoking balconey in the city .",['RESTAURANT'],['MISCELLANEOUS'],['2'],"[{'category': 'Smoking', 'aspect': 'Smoking places', 'segment': 'not alot of smoking places left in new york', 'sentiment': 'negative'}, {'category': 'Smoking', 'aspect': 'Smoking places', 'segment': 'but i have found my favorite smoking balcony in the city', 'sentiment': 'positive'}]"
the sushi here is delicious !,['FOOD'],['QUALITY'],['2'],"[{'category': 'Food', 'aspect': 'Sushi', 'segment': 'the sushi here is delicious', 'sentiment': 'positive'}]"
they have a wide variety of fish and they even list which oceans they come from ; atlantic or pacific .,['FOOD'],['STYLE_OPTIONS'],['2'],"[{'category': 'Food_Selection', 'aspect': 'Fish', 'segment': 'they have a wide variety of fish', 'sentiment': 'positive'}, {'category': 'Food_Origin', 'aspect': 'Fish', 'segment': 'and they even list which oceans they come from ; atlantic or pacific', 'sentiment': 'positive'}]"
"i ' ve had the jellyfish , horse mackerel , blue fin tuna and the sake ikura roll among others , and they were all good .","['FOOD', 'FOOD', 'FOOD', 'FOOD']","['QUALITY', 'QUALITY', 'QUALITY', 'QUALITY']","['2', '2', '2', '2']","[{'category': 'Food', 'aspect': 'Jellyfish', 'segment': 'the jellyfish', 'sentiment': 'positive'}, {'category': 'Food', 'aspect': 'Horse Mackerel', 'segment': 'horse mackerel', 'sentiment': 'positive'}, {'category': 'Food', 'aspect': 'Blue Fin Tuna', 'segment': 'blue fin tuna', 'sentiment': 'positive'}, {'category': 'Food', 'aspect': 'Sake Ikura Roll', 'segment': 'sake ikura roll', 'sentiment': 'positive'}]"
my only negative comment is that i wish the pieces were a little bigger .,['FOOD'],['STYLE_OPTIONS'],['0'],"[{'category': 'Design_Features', 'aspect': 'Size', 'segment': 'i wish the pieces were a little bigger', 'sentiment': 'negative'}]"
"the decor is rustic , traditional japanese .","['AMBIENCE', 'AMBIENCE']","['GENERAL', 'GENERAL']","['1', '1']","[{'category': 'Design_Features', 'aspect': 'Decor', 'segment': 'the decor is rustic, traditional japanese', 'sentiment': 'positive'}]"
"the crowd is mixed yuppies , young and old .",['RESTAURANT'],['MISCELLANEOUS'],['1'],"[{'category': 'General', 'aspect': 'Crowd', 'segment': 'the crowd is mixed yuppies, young and old', 'sentiment': 'neutral'}]"
the service was courteous and attentive .,"['SERVICE', 'SERVICE']","['GENERAL', 'GENERAL']","['2', '2']","[{'category': 'Service', 'aspect': 'Service', 'segment': 'the service was courteous and attentive', 'sentiment': 'positive'}]"
mediocre food,['FOOD'],['QUALITY'],['1'],"[{'category': 'Food', 'aspect': 'Food', 'segment': 'mediocre food', 'sentiment': 'negative'}]"
the outside patio area has an abbreviated menu .,['FOOD'],['STYLE_OPTIONS'],['1'],"[{'category': 'Food_Menu', 'aspect': 'Patio', 'segment': 'the outside patio area has an abbreviated menu', 'sentiment': 'negative'}]"
my g / f and i both agreed the food was very mediocre especially considering the price .,"['FOOD', 'FOOD']","['QUALITY', 'PRICES']","['0', '0']","[{'category': 'Food', 'aspect': 'Quality', 'segment': 'food was very mediocre', 'sentiment': 'negative'}, {'category': 'Food', 'aspect': 'Price', 'segment': 'especially considering the price', 'sentiment': 'negative'}]"
"we are locals , and get the feeling the only way this place survives with such average food is because most customers are probably one - time customer tourists .","['RESTAURANT', 'FOOD']","['GENERAL', 'QUALITY']","['0', '0']","[{'category': 'Food', 'aspect': 'Food', 'segment': 'average food', 'sentiment': 'negative'}, {'category': 'Customers', 'aspect': 'Customers', 'segment': 'most customers are probably one-time customer tourists', 'sentiment': 'negative'}]"
service was decent .,['SERVICE'],['GENERAL'],['1'],"[{'category': 'Service', 'aspect': 'Service', 'segment': 'service was decent', 'sentiment': 'positive'}]"
drinks were good .,['DRINKS'],['QUALITY'],['2'],"[{'category': 'Food_and_Drinks', 'aspect': 'Drinks', 'segment': 'drinks were good', 'sentiment': 'positive'}]"
"excellent food , nice ambience , fairly expensive","['FOOD', 'AMBIENCE', 'RESTAURANT']","['QUALITY', 'GENERAL', 'PRICES']","['2', '2', '0']","[{'category': 'Food', 'aspect': 'Food', 'segment': 'excellent food', 'sentiment': 'positive'}, {'category': 'Ambience', 'aspect': 'Ambience', 'segment': 'nice ambience', 'sentiment': 'positive'}, {'category': 'Price', 'aspect': 'Price', 'segment': 'fairly expensive', 'sentiment': 'negative'}]"
– i loved the pumpkin ravioli and the goat cheese gnocchi ( 5 big ones to a plate instead of 20 or so little gnocchis ) and my sister loved her filet mignon on top of spinach and mashed potatoes .,"['FOOD', 'FOOD', 'FOOD', 'FOOD']","['QUALITY', 'QUALITY', 'STYLE_OPTIONS', 'QUALITY']","['2', '2', '2', '2']","[{'category': 'Food', 'aspect': 'Pumpkin Ravioli', 'segment': 'loved the pumpkin ravioli', 'sentiment': 'positive'}, {'category': 'Food', 'aspect': 'Goat Cheese Gnocchi', 'segment': 'loved the goat cheese gnocchi', 'sentiment': 'positive'}, {'category': 'Food', 'aspect': 'Filet Mignon', 'segment': 'loved her filet mignon', 'sentiment': 'positive'}]"
the ambiance was a peaceful and relaxing break amongst all the kids running around in downtown disney .,"['AMBIENCE', 'AMBIENCE']","['GENERAL', 'GENERAL']","['2', '2']","[{'category': 'Atmosphere', 'aspect': 'Ambiance', 'segment': 'the ambiance was a peaceful and relaxing break', 'sentiment': 'positive'}, {'category': 'Atmosphere', 'aspect': 'Crowd', 'segment': 'amongst all the kids running around', 'sentiment': 'negative'}, {'category': 'Location', 'aspect': 'Disney', 'segment': 'in downtown disney', 'sentiment': 'positive'}]"
best indian food in l . a .,['FOOD'],['QUALITY'],['2'],"[{'category': 'Food', 'aspect': 'Indian', 'segment': 'best indian food in l . a .', 'sentiment': 'positive'}]"
the chicken curry and chicken tikka masala are my favorite meat dishes .,"['FOOD', 'FOOD']","['QUALITY', 'QUALITY']","['2', '2']","[{'category': 'Food', 'aspect': 'Chicken Curry', 'segment': 'chicken curry', 'sentiment': 'positive'}, {'category': 'Food', 'aspect': 'Chicken Tikka Masala', 'segment': 'chicken tikka masala', 'sentiment': 'positive'}]"
the chana masala ( garbanzo beans ) are also excellent .,['FOOD'],['QUALITY'],['2'],"[{'category': 'Food', 'aspect': 'Chana Masala', 'segment': 'the chana masala ( garbanzo beans ) are also excellent', 'sentiment': 'positive'}]"
"it ' s located in a strip mall near the beverly center , not the greatest location , but the food keeps me coming back for more .","['LOCATION', 'FOOD']","['GENERAL', 'QUALITY']","['1', '2']","[{'category': 'Location', 'aspect': 'Strip Mall', 'segment': ""it ' s located in a strip mall"", 'sentiment': 'negative'}, {'category': 'Food', 'aspect': 'Food', 'segment': 'the food keeps me coming back for more', 'sentiment': 'positive'}]"
never too crowded and always great service .,"['SERVICE', 'RESTAURANT']","['GENERAL', 'MISCELLANEOUS']","['2', '2']","[{'category': 'Atmosphere', 'aspect': 'Crowdedness', 'segment': 'never too crowded', 'sentiment': 'positive'}, {'category': 'Service', 'aspect': 'Service', 'segment': 'always great service', 'sentiment': 'positive'}]"
i think i have probably tried each item on their menu at least once it is all excellent .,['FOOD'],['QUALITY'],['2'],"[{'category': 'Food', 'aspect': 'Menu', 'segment': 'i think i have probably tried each item on their menu at least once', 'sentiment': 'positive'}, {'category': 'Food', 'aspect': 'Menu', 'segment': 'it is all excellent', 'sentiment': 'positive'}]"
i can highly recommend their various saag and paneer and korma .,"['FOOD', 'FOOD', 'FOOD']","['QUALITY', 'QUALITY', 'QUALITY']","['2', '2', '2']","[{'category': 'Food', 'aspect': 'Saag', 'segment': 'saag', 'sentiment': 'positive'}, {'category': 'Food', 'aspect': 'Paneer', 'segment': 'paneer', 'sentiment': 'positive'}, {'category': 'Food', 'aspect': 'Korma', 'segment': 'korma', 'sentiment': 'positive'}]"
i appreciate their delivery too .,['SERVICE'],['GENERAL'],['2'],"[{'category': 'Service', 'aspect': 'Delivery', 'segment': 'i appreciate their delivery too', 'sentiment': 'positive'}]"
nice food but no spice !,"['FOOD', 'FOOD']","['QUALITY', 'QUALITY']","['2', '0']","[{'category': 'Food', 'aspect': 'Food', 'segment': 'nice food', 'sentiment': 'positive'}, {'category': 'Food', 'aspect': 'Spice', 'segment': 'but no spice', 'sentiment': 'negative'}]"
